player_id,competition,season,matches_played,name,name_clean,age,position,position_full,grouped_position,position_list,position_full_list,grouped_position_list,primary_position,primary_position_full,primary_grouped_position,team_name,pass_xt_total,pass_xt_count,dribble_xt_total,dribble_xt_count,pass_xt_per90,dribble_xt_per90,total_xt,total_xt_per90,market_value_eur_m
148684,Champions League,2024/2025,13,Nicolò Barella,Nicolò Barella,28,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,Inter,1.3650697768571098,441.0,-0.0014616881620091345,15.0,0.10500536745054691,-0.00011243755092377957,1.3636080886951008,0.10489292989962314,
148684,Serie A,2024/2025,33,Nicolò Barella,Nicolò Barella,28,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,Inter,4.475855711450372,1497.0,0.17680510371829544,23.0,0.13563199125607187,0.005357730415705923,4.652660815168667,0.14098972167177778,75.0
149029,Europa League,2024/2025,10,Mattia Zaccagni,Mattia Zaccagni,30,AML,Left Attacking Midfielder,Left Winger,AMC|AML|FWL,Attacking Midfielder|Left Attacking Midfielder|Left Winger,Attacking Midfielder|Left Winger,FWL,Left Winger,Left Winger,Lazio,0.6846243760472643,203.0,-0.028042144258938424,5.0,0.06846243760472644,-0.0028042144258938425,0.6565822317883259,0.06565822317883259,
149029,Serie A,2024/2025,34,Mattia Zaccagni,Mattia Zaccagni,30,AML,Left Attacking Midfielder,Left Winger,AMC|AML|FWL,Attacking Midfielder|Left Attacking Midfielder|Left Winger,Attacking Midfielder|Left Winger,FWL,Left Winger,Left Winger,Lazio,2.3486255574737207,828.0,-0.028257570113604753,44.0,0.06907722227863884,-0.0008311050033413163,2.320367987360116,0.06824611727529753,20.0
149121,LaLiga,2024/2025,2,Raúl de Tomás,Raúl de Tomás,30,Sub,Substitute,Substitute,FW,Striker,Striker,FW,Striker,Striker,Rayo Vallecano,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
149348,Ligue 1,2024/2025,20,Ulisses Garcia,Ulisses Garcia,29,Sub,Substitute,Substitute,DL,Left Back,Left Defender,DL,Left Back,Left Defender,Marseille,1.118058746488165,528.0,-0.004855731137459792,7.0,0.05590293732440825,-0.0002427865568729896,1.1132030153507053,0.05566015076753526,5.0
149474,Serie A,2024/2025,37,Vanja Milinkovic-Savic,Vanja Milinkovic-Savic,28,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Torino,1.2779510923379163,918.0,0.0,0.0,0.03453921871183557,0.0,1.2779510923379163,0.03453921871183557,16.0
201755,Premier League,2024/2025,29,Joelinton,Joelinton,28,MC,Central Midfielder,Central Midfielder,FW|FWL|FWR|MC|ML,Striker|Left Winger|Right Winger|Central Midfielder|Left Midfielder,Striker|Left Winger|Right Winger|Central Midfielder,MC,Central Midfielder,Central Midfielder,Newcastle,1.554527658678198,866.0,-0.056996683337918685,15.0,0.053604402023386136,-0.0019654028737213338,1.4975309753402792,0.0516389991496648,35.0
202185,Ligue 1,2024/2025,32,Moses Simon,Moses Simon,30,FW,Striker,Striker,AMC|AML|FW|FWL|ML,Attacking Midfielder|Left Attacking Midfielder|Striker|Left Winger|Left Midfielder,Attacking Midfielder|Left Winger|Striker|Central Midfielder,AML,Left Attacking Midfielder,Left Winger,Nantes,3.8555505528522787,479.0,-0.471195628748504,66.0,0.12048595477663371,-0.01472486339839075,3.3843549241037745,0.10576109137824295,12.0
202261,Champions League,2024/2025,8,Kaan Kairinen,Kaan Kairinen,26,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,MC,Central Midfielder,Central Midfielder,Sparta Prague,0.5585346762278476,246.0,-0.0003747476614523039,1.0,0.06981683452848095,-4.6843457681537985e-05,0.5581599285663953,0.06976999107079941,
203436,Champions League,2024/2025,7,Marko Rog,Marko Rog,29,Sub,Substitute,Substitute,DMC|MC,Defensive Midfielder|Central Midfielder,Defensive Midfielder|Central Midfielder,MC,Central Midfielder,Central Midfielder,Dinamo Zagreb,0.12871313880211666,99.0,0.020819440970791744,8.0,0.018387591257445237,0.0029742058529702493,0.1495325797729084,0.021361797110415488,
203838,Champions League,2024/2025,8,Tigran Barseghyan,Tigran Barseghyan,31,AMC,Attacking Midfielder,Attacking Midfielder,AMC,Attacking Midfielder,Attacking Midfielder,AMC,Attacking Midfielder,Attacking Midfielder,Slovan Bratislava,0.23459481013605277,135.0,0.00744000420446869,8.0,0.029324351267006596,0.0009300005255585863,0.24203481434052146,0.030254351792565182,
211856,Europa League,2024/2025,4,Abbas Hüseynov,Abbas Hüseynov,30,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Qarabag FK,0.47370894280171666,86.0,0.0,0.0,0.11842723570042916,0.0,0.47370894280171666,0.11842723570042916,
226599,Bundesliga,2024/2025,33,Maximilian Wittek,Maximilian Wittek,29,DML,Left Defensive Midfielder,Defensive Midfielder,AML|DML,Left Attacking Midfielder|Left Defensive Midfielder,Left Winger|Defensive Midfielder,DML,Left Defensive Midfielder,Defensive Midfielder,Bochum,4.599496162586895,1010.0,-0.043723664524930414,12.0,0.13937867159354228,-0.0013249595310584974,4.555772498061965,0.1380537120624838,1.5
227655,Bundesliga,2024/2025,31,Lucas Höler,Lucas Höler,31,FW,Striker,Striker,AMC|FW|FWL,Attacking Midfielder|Striker|Left Winger,Attacking Midfielder|Striker|Left Winger,FW,Striker,Striker,Freiburg,0.7229283103614526,392.0,0.0704337306790105,18.0,0.02332026807617589,0.0022720558283551772,0.793362041040463,0.025592323904531065,3.0
228429,Europa League,2024/2025,5,Brice Wembangomo,Brice Wembangomo,28,Sub,Substitute,Substitute,DL,Left Back,Left Defender,DL,Left Back,Left Defender,Bodoe/Glimt,0.16278406546403285,78.0,0.015746838057994234,3.0,0.03255681309280657,0.003149367611598847,0.17853090352202708,0.03570618070440541,
228583,Champions League,2024/2025,3,Samy Mmaee,Samy Mmaee,28,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Dinamo Zagreb,0.057676043710046816,92.0,0.0,0.0,0.019225347903348938,0.0,0.057676043710046816,0.019225347903348938,
228854,Serie A,2024/2025,28,Mërgim Vojvoda,Mërgim Vojvoda,30,DR,Right Back,Right Defender,DC|DML|DMR|DR|ML,Centre-Back|Left Defensive Midfielder|Right Defensive Midfielder|Right Back|Left Midfielder,Centre-Back|Defensive Midfielder|Right Defender|Central Midfielder,DML,Left Defensive Midfielder,Defensive Midfielder,Como,2.518163146264616,1030.0,-0.056964225869676255,9.0,0.08993439808087914,-0.0020344366382027235,2.46119892039494,0.08789996144267642,3.0
229539,Europa League,2024/2025,6,Tarik Tissoudali,Tarik Tissoudali,32,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Sub,Substitute,Substitute,PAOK Thessaloniki FC,0.24162374923091867,24.0,0.0001332187741191356,1.0,0.04027062487181978,2.2203129019855933e-05,0.24175696800503782,0.04029282800083964,
229562,Premier League,2024/2025,5,Rico Henry,Rico Henry,28,Sub,Substitute,Substitute,DL|DML,Left Back|Left Defensive Midfielder,Left Defender|Defensive Midfielder,DL,Left Back,Left Defender,Brentford,0.03642775691078053,33.0,0.0,0.0,0.007285551382156107,0.0,0.03642775691078053,0.007285551382156107,15.0
231118,Premier League,2024/2025,18,Cameron Burgess,Cameron Burgess,29,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Ipswich,0.7225852596179043,595.0,0.0,0.0,0.040143625534328015,0.0,0.7225852596179043,0.040143625534328015,2.0
231125,Champions League,2024/2025,5,Viktor Tsygankov,Viktor Tsygankov,27,MR,Right Midfielder,Central Midfielder,AMC|AMR|FWR|MR,Attacking Midfielder|Right Attacking Midfielder|Right Winger|Right Midfielder,Attacking Midfielder|Right Winger|Central Midfielder,AMR,Right Attacking Midfielder,Right Winger,Girona,0.4174127080306304,93.0,0.0033274166237022493,4.0,0.08348254160612609,0.0006654833247404498,0.42074012465433264,0.08414802493086652,
231125,LaLiga,2024/2025,27,Viktor Tsygankov,Viktor Tsygankov,27,MR,Right Midfielder,Central Midfielder,AMC|AMR|FWR|MR,Attacking Midfielder|Right Attacking Midfielder|Right Winger|Right Midfielder,Attacking Midfielder|Right Winger|Central Midfielder,AMR,Right Attacking Midfielder,Right Winger,Girona,2.2518451773444124,612.0,0.02490404866457912,15.0,0.08340167323497824,0.0009223721727621896,2.2767492260089917,0.08432404540774043,18.0
231135,Premier League,2024/2025,30,Joachim Andersen,Joachim Andersen,29,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Fulham,1.9676519987007035,1688.0,0.012178627815178322,4.0,0.06558839995669012,0.00040595426050594406,1.9798306265158818,0.06599435421719606,27.0
231144,Ligue 1,2024/2025,25,Valentin Rongier,Valentin Rongier,30,DMC,Defensive Midfielder,Defensive Midfielder,DMC|DR|MC,Defensive Midfielder|Right Back|Central Midfielder,Defensive Midfielder|Right Defender|Central Midfielder,MC,Central Midfielder,Central Midfielder,Marseille,1.2876188525398375,1273.0,0.013463089191972448,11.0,0.051504754101593504,0.0005385235676788979,1.30108194173181,0.0520432776692724,9.0
232248,Serie A,2024/2025,4,Tyronne Ebuehi,Tyronne Ebuehi,29,Sub,Substitute,Substitute,DR,Right Back,Right Defender,DR,Right Back,Right Defender,Empoli,0.10958938149838426,33.0,-0.012245807860098608,1.0,0.027397345374596066,-0.003061451965024652,0.09734357363828566,0.024335893409571416,1.0
